Paalkuil,"Haardkuil, Vooraadkuil",Standspoor wand of stalscheiding,Vlechtwerkwerk wand of stalscheiding,Planken van wand of vloer,"Verdiepte vloer, potstal","Plag, plaggenwand",Hulplijn wand,Hulplijn dragende structuur,"Ingangkuil, drempelkuil, stalgoot",Pallisade,Aarden wal,Waterput,Sloot of greppel,Overige kuilen,Achtergrond,real_width,real_height,scale,dimensions_valid,label,image_path,min_length,max_length,min_width,max_width
0.07725820864601789,0.0,0.0006245960996756429,0.0,0.0,0.0,0.0,0.0005411104823922649,0.008209419032865505,0.0009894591678029988,0.00041742808641689004,0.0,0.0,0.0,0.0,0.9119597784848288,1.45,6.285,1:200,False,Fochteloo B,C:\Users\ecgam\Desktop\Startup_met_code_werkend_model\Startup\Startup\Fochteloo B\1.png,12,27,5.0,6.0
0.01058150204274122,0.0,5.766835314561644e-05,0.0,0.0,0.0005613053039506666,0.0,0.006046206447578186,0.01119663114296113,0.0,6.023139106319939e-05,0.0,0.0,0.0,0.07377192038179013,0.8977245349367698,5.85,3.655,1:200,False,Fochteloo B,C:\Users\ecgam\Desktop\Startup_met_code_werkend_model\Startup\Startup\Fochteloo B\10.png,12,27,5.0,6.0
0.010833301676614325,1.117295964997352e-06,8.938367719978815e-06,0.0,0.0,1.117295964997352e-06,0.0,0.010860116779774262,0.01309694330169896,0.0,1.3407551579968224e-05,0.0,1.117295964997352e-06,0.0,0.0,0.9651839404347176,5.565,4.145,1:200,False,Fochteloo B,C:\Users\ecgam\Desktop\Startup_met_code_werkend_model\Startup\Startup\Fochteloo B\11.png,12,27,5.0,6.0
0.07215325800242389,0.0,0.00014035431667498396,0.0,0.0,0.0,0.0,0.00133670777785699,0.012914824980394953,0.0012008091537748628,0.00014258216297141228,0.0,0.0,0.0,0.0,0.9121114636059029,1.885,6.43,1:200,False,Fochteloo B,C:\Users\ecgam\Desktop\Startup_met_code_werkend_model\Startup\Startup\Fochteloo B\2.png,12,27,5.0,6.0
0.019905280126687547,1.137639602599734e-06,6.20013583416855e-05,0.0,0.0,0.0,0.0,0.003587546486798261,0.012520861466212672,0.0,5.745079993128657e-05,0.0,5.68819801299867e-07,0.0,0.0,0.9638651533026247,9.13,5.06,1:200,False,Fochteloo B,C:\Users\ecgam\Desktop\Startup_met_code_werkend_model\Startup\Startup\Fochteloo B\4.png,12,27,5.0,6.0
0.03684978158298747,1.5347254657508107e-06,7.878257390854161e-05,0.0,0.0,0.0,0.0,0.0,0.012831839619142528,0.0,5.729641738803027e-05,0.0,0.0,0.0,0.0,0.9501807650811077,8.73,5.945,1:200,False,Fochteloo B,C:\Users\ecgam\Desktop\Startup_met_code_werkend_model\Startup\Startup\Fochteloo B\5.png,12,27,5.0,6.0
0.026264846202946984,0.0,0.0,0.0,0.0,0.0,0.0,0.019449559007899717,0.017634207085548585,0.0,0.0,0.0,0.0,0.0,0.0,0.9366513877036047,9.19,5.53,1:200,False,Fochteloo B,C:\Users\ecgam\Desktop\Startup_met_code_werkend_model\Startup\Startup\Fochteloo B\6.png,12,27,5.0,6.0
0.018197345683997737,1.5992745690554765e-06,5.6774247201469414e-05,0.0,0.0,3.7582952372803694e-05,0.0,0.008997518725506111,0.00945011342854881,0.0,3.6783315088275956e-05,0.0,0.0,0.0,0.001987898289335957,0.9612343840833798,7.69,4.35,1:200,False,Fochteloo B,C:\Users\ecgam\Desktop\Startup_met_code_werkend_model\Startup\Startup\Fochteloo B\7.png,12,27,5.0,6.0
0.016635364357399852,0.0,0.00015540153536716943,0.0,0.0,0.0,0.0,0.0,0.015594914077751088,0.0,0.00017908176932788096,0.0,0.0,0.0,0.0,0.967435238260154,4.695,3.895,1:200,False,Fochteloo B,C:\Users\ecgam\Desktop\Startup_met_code_werkend_model\Startup\Startup\Fochteloo B\8.png,12,27,5.0,6.0
0.009372147209012542,0.0,6.219223174602469e-05,0.0,0.0,8.662489421767726e-05,0.0,0.00826046106655235,0.01921406788282095,0.0,4.442302267573192e-05,0.0,0.0,0.0,0.0019013053705213263,0.9610587783224533,6.575,3.88,1:200,False,Fochteloo B,C:\Users\ecgam\Desktop\Startup_met_code_werkend_model\Startup\Startup\Fochteloo B\9.png,12,27,5.0,6.0
0.025179617369372957,4.366533836707354e-07,4.8905178971122366e-05,0.0,0.0,0.0014068972021871096,0.0,0.012097481994597724,0.006373392788058054,0.015424780778168728,0.0,0.0,0.0,0.01867959510005039,0.08991348149855947,0.8308754114366508,11.085,5.33,1:200,False,Midlaren,C:\Users\ecgam\Desktop\Startup_met_code_werkend_model\Startup\Startup\Midlaren\1.png,25,42,5.5,6.5
0.02152077373800385,1.335781375333862e-06,1.1354141690337826e-05,0.0,0.0,0.0005590245055772212,0.0,0.021347122159210447,0.01322022827167923,0.0,0.0,0.0,0.0,0.0,0.03695639542067429,0.9063837659817893,11.115,3.57,1:200,False,Midlaren,C:\Users\ecgam\Desktop\Startup_met_code_werkend_model\Startup\Startup\Midlaren\10.png,25,42,5.5,6.5
0.012507083574482984,0.0,8.073954404040298e-05,0.0,0.0,0.0009884934831114757,0.0,0.011126965574016656,0.012591595994413125,0.0,0.0,0.0,0.0,0.0,0.04135675635295707,0.9213483654769783,10.615,3.19,1:200,False,Midlaren,C:\Users\ecgam\Desktop\Startup_met_code_werkend_model\Startup\Startup\Midlaren\3.png,25,42,5.5,6.5
0.011799089253023915,8.987043379559689e-07,3.5948173518238754e-05,0.0,0.0,0.00021389163243352058,0.0,0.014579680474659682,0.01139916582263351,0.0,0.0,0.0,0.0,0.0,0.010681999760944647,0.9512893261784485,9.42,3.015,1:200,False,Midlaren,C:\Users\ecgam\Desktop\Startup_met_code_werkend_model\Startup\Startup\Midlaren\4.png,25,42,5.5,6.5
0.03433765188865044,0.0,0.0002546852683384246,0.0,0.0,0.004562628699267345,0.0,0.015816533993971486,0.013601061574504848,0.0,0.0,0.0,0.0,0.0,0.14226632264861103,0.7891611159266564,9.71,1.925,1:200,False,Midlaren,C:\Users\ecgam\Desktop\Startup_met_code_werkend_model\Startup\Startup\Midlaren\5.png,25,42,5.5,6.5
0.012220339616106808,1.6977409858442356e-06,0.0001561921706976697,0.0,0.0,0.0005891161220879498,0.0,0.017101344950408985,0.01855461123429165,0.0,6.790963943376942e-06,0.0,0.0,0.0,0.04260650778074694,0.9087633994207308,8.79,1.74,1:200,False,Midlaren,C:\Users\ecgam\Desktop\Startup_met_code_werkend_model\Startup\Startup\Midlaren\6.png,25,42,5.5,6.5
0.02704756941051283,2.7145292463381e-06,4.07179386950715e-05,0.0,0.0,6.78632311584525e-05,0.0,0.01936273711412967,0.016075442196814227,0.0,0.0,0.0,2.7145292463381e-06,0.0,0.0013626936816617263,0.9360375473685354,6.49,1.465,1:200,False,Midlaren,C:\Users\ecgam\Desktop\Startup_met_code_werkend_model\Startup\Startup\Midlaren\7.png,25,42,5.5,6.5
0.015443813365783056,1.0065050420870084e-06,0.0,0.0,0.0,0.0,0.0,0.018306313705478507,0.013319081221937382,0.0,0.0,0.0,0.0,0.0,0.0,0.952929785201759,9.67,2.61,1:200,False,Midlaren,C:\Users\ecgam\Desktop\Startup_met_code_werkend_model\Startup\Startup\Midlaren\8.png,25,42,5.5,6.5
0.009642153503512078,0.0,2.944577694020901e-05,0.0,0.0,1.8738221689223916e-05,0.0,0.012189659356975616,0.009094283593170008,0.0,3.390725829478613e-05,0.0,0.0,0.0,0.00016418251384843813,0.9688276297755697,10.365,3.135,1:200,False,Midlaren,C:\Users\ecgam\Desktop\Startup_met_code_werkend_model\Startup\Startup\Midlaren\9.png,25,42,5.5,6.5
0.007213485484523298,0.0,0.00011800764474978625,0.0,0.0,0.00010835247381571283,0.0,0.003166896066376082,0.003166896066376082,0.0,8.582374163620818e-05,0.0,0.0,0.0,0.007273562103668643,0.9788669764188542,6.425,3.93,1:200,False,Noordbarge,C:\Users\ecgam\Desktop\Startup_met_code_werkend_model\Startup\Startup\Noordbarge\1.png,10,21,5.0,6.5
0.019644133809027638,1.7394964853473514e-06,0.00010089079615014638,0.0,0.0,0.0,0.0,0.008490482344980422,0.011122340527310965,0.0,8.523532778202021e-05,6.9579859413894055e-06,0.0,0.0,0.0,0.9605482197123221,4.87,3.12,1:200,False,Noordbarge,C:\Users\ecgam\Desktop\Startup_met_code_werkend_model\Startup\Startup\Noordbarge\2.png,10,21,5.0,6.5
0.019342547824258986,0.0,0.0001510931259196973,0.0,0.0,0.0,0.0,0.00616854109733025,0.009207483708219466,0.0033779167542568847,7.094807651881438e-05,0.0,0.0,0.0,0.0,0.9616814694134959,6.26,3.29,1:200,False,Noordbarge,C:\Users\ecgam\Desktop\Startup_met_code_werkend_model\Startup\Startup\Noordbarge\3.png,10,21,5.0,6.5
0.028617967876302695,1.6207718115366537e-06,0.00020097570463054507,0.0,0.0,0.0009676007714873823,0.0,0.004776414528598519,0.007136258286195887,0.0,0.0001928718455728618,0.0,0.0,0.0,0.08745360540689476,0.8706526848085058,5.755,2.96,1:200,False,Noordbarge,C:\Users\ecgam\Desktop\Startup_met_code_werkend_model\Startup\Startup\Noordbarge\4.png,10,21,5.0,6.5
0.03859041907333597,8.288142237781828e-07,5.967462411202916e-05,0.0,0.0,0.0,0.0,0.009707901003113854,0.007759358763011347,0.0009166685314986702,5.387292454558188e-05,0.0,0.0,0.0,0.0,0.9429112762661588,8.085,3.87,1:200,False,Noordbarge,C:\Users\ecgam\Desktop\Startup_met_code_werkend_model\Startup\Startup\Noordbarge\6.png,10,21,5.0,6.5
0.022389194349663206,3.535880345809098e-06,0.0005657408553294556,0.0,0.0,0.00022983222247759135,0.0,0.0011031946678924385,0.0011173381892756748,0.0025493697293283595,0.00010961229072008203,0.0,0.0,0.0,0.0019765571133072857,0.9699556247016601,1.305,6.055,1:200,False,Noordbarge,C:\Users\ecgam\Desktop\Startup_met_code_werkend_model\Startup\Startup\Noordbarge\7.png,10,21,5.0,6.5
0.031162416155690615,0.0,0.0007782731333816192,0.0,0.0,0.0,0.0,0.0010436957626851772,0.0024967721909063506,0.0018489610278603786,0.0001709501680260204,4.498688632263695e-06,0.0,0.0,0.0,0.9624944328728176,1.04,6.175,1:200,False,Noordbarge,C:\Users\ecgam\Desktop\Startup_met_code_werkend_model\Startup\Startup\Noordbarge\8.png,10,21,5.0,6.5
0.04196074454351348,0.0,0.0,0.0,0.0,1.096368006885191e-05,0.0,0.011585868912759256,0.008107641410915988,0.0,0.0,0.0,0.0,0.0,0.0002549055616008069,0.9380798758911416,1.47,6.435,1:200,False,Peelo A,C:\Users\ecgam\Desktop\Startup_met_code_werkend_model\Startup\Startup\Peelo A\1.png,21,36,6.0,7.0
0.03987673950667661,0.0,2.5327498628093825e-05,0.0,0.0,2.5327498628093825e-05,0.0,0.010522168596715868,0.007387187099860699,0.0031237248307982384,4.502666422772236e-05,0.0,0.0,0.0,0.001539349083285258,0.9374551492211795,1.605,5.77,1:200,False,Peelo A,C:\Users\ecgam\Desktop\Startup_met_code_werkend_model\Startup\Startup\Peelo A\2.png,21,36,6.0,7.0
0.024257008621328856,0.0,1.2133222786192393e-05,0.0,0.0,6.87549291217569e-05,0.0,0.01385479228596658,0.00914710184492393,0.013622912917163792,1.8873902111854832e-05,1.348135865132488e-06,1.348135865132488e-06,0.0,0.0010259313933658233,0.9379897946115009,6.08,3.115,1:200,False,Wijster A,C:\Users\ecgam\Desktop\Startup_met_code_werkend_model\Startup\Startup\Wijster A\2.png,15,25,5.0,6.0
0.03781079168109874,9.412225351264251e-07,5.7414574642711924e-05,0.0,0.0,4.047256901043628e-05,0.0,0.006874689396563409,0.007012107886691867,0.0019087993012363899,1.6000783097149225e-05,0.0,0.0,0.0,0.0015228980618345557,0.9447558845232896,9.635,2.87,1:200,False,Wijster A,C:\Users\ecgam\Desktop\Startup_met_code_werkend_model\Startup\Startup\Wijster A\3.png,15,25,5.0,6.0
0.032692957998098654,0.0,1.0026277963061368e-05,0.0,0.0,1.2760717407532651e-05,0.0,0.011401701003630424,0.009414675007314625,0.00348276437244159,8.203318333413848e-06,0.0,0.0,0.0,0.0005742322833389693,0.9424026790214717,8.515,3.3,1:200,False,Wijster A,C:\Users\ecgam\Desktop\Startup_met_code_werkend_model\Startup\Startup\Wijster A\4.png,15,25,5.0,6.0
0.02032983799710143,7.967486281980494e-07,0.0,0.0,0.0,8.047161144800298e-05,0.0,0.01099194407462029,0.00912516203875226,0.008976966793907422,0.0,0.0,0.0,0.0,0.003695320137582553,0.9467995005979598,8.45,3.77,1:200,False,Wijster A,C:\Users\ecgam\Desktop\Startup_met_code_werkend_model\Startup\Startup\Wijster A\5.png,15,25,5.0,6.0
